datetime,Réel,Prévision,joursem,isoweek
2011-01-03,11127.0,11905.0,0,1
2011-01-04,11800.0,12172.0,1,1
2011-01-06,11723.0,12363.0,3,1
2011-01-07,12320.0,12423.0,4,1
2011-01-10,11281.0,11932.0,0,2
2011-01-11,11883.0,12201.0,1,2
2011-01-13,11967.0,12240.0,3,2
2011-01-14,11957.0,12467.0,4,2
2011-01-17,11490.0,11914.0,0,3
2011-01-18,11996.0,12255.0,1,3
2011-01-20,11930.0,12257.0,3,3
2011-01-21,12062.0,12354.0,4,3
2011-01-24,11565.0,11888.0,0,4
2011-01-25,11973.0,12209.0,1,4
2011-01-27,11839.0,12093.0,3,4
2011-01-28,12001.0,12383.0,4,4
2011-01-31,11304.0,11814.0,0,5
2011-02-01,11723.0,12227.0,1,5
2011-02-03,11757.0,12301.0,3,5
2011-02-04,11932.0,12346.0,4,5
2011-02-07,11437.0,11897.0,0,6
2011-02-08,11928.0,12155.0,1,6
2011-02-11,12184.0,12451.0,4,6
2011-02-14,11579.0,11826.0,0,7
2011-02-15,11947.0,12163.0,1,7
2011-02-17,12135.0,12406.0,3,7
2011-02-18,12265.0,12390.0,4,7
2011-02-21,11466.0,11616.0,0,8
2011-02-22,12184.0,12198.0,1,8
2011-02-24,11886.0,10342.0,3,8
2011-02-25,11966.0,12214.0,4,8
2011-03-14,11702.0,11856.0,0,11
2011-03-15,12080.0,12113.0,1,11
2011-03-17,12258.0,12146.0,3,11
2011-03-18,12684.0,12463.0,4,11
2011-03-21,11863.0,11844.0,0,12
2011-03-22,12231.0,12071.0,1,12
2011-03-24,12538.0,12244.0,3,12
2011-03-25,12500.0,12404.0,4,12
2011-03-28,11451.0,11845.0,0,13
2011-03-29,12174.0,12291.0,1,13
2011-03-31,12326.0,12266.0,3,13
2011-04-01,12425.0,12346.0,4,13
2011-04-04,11660.0,11855.0,0,14
2011-04-05,12258.0,12161.0,1,14
2011-04-07,11962.0,12030.0,3,14
2011-04-08,12128.0,12254.0,4,14
2011-04-11,11780.0,12000.0,0,15
2011-04-12,12307.0,12263.0,1,15
2011-04-14,12216.0,12568.0,3,15
2011-04-15,12533.0,12575.0,4,15
2011-04-18,11693.0,12073.0,0,16
2011-04-19,12504.0,12431.0,1,16
2011-04-21,12296.0,12493.0,3,16
2011-04-22,12220.0,12607.0,4,16
2011-05-09,11743.0,12038.0,0,19
2011-05-10,12399.0,12477.0,1,19
2011-05-12,12312.0,12383.0,3,19
2011-05-13,12071.0,12530.0,4,19
2011-05-16,11730.0,12323.0,0,20
2011-05-17,12478.0,12510.0,1,20
2011-05-19,12203.0,12274.0,3,20
2011-05-20,12292.0,12507.0,4,20
2011-05-23,11546.0,11966.0,0,21
2011-05-24,12173.0,12418.0,1,21
2011-05-26,12120.0,12536.0,3,21
2011-05-27,12152.0,12526.0,4,21
