Nom du site,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGENETS,245.5,259.0,260.0,283.5,278.0,283.0,298.0,303.0,284.5,279.0,314.0,343.0
AIME CESAIRE,,,81.0,93.0,139.0,166.0,220.0,221.0,245.0,280.5,258.0,237.0
ALAIN FOURNIER E,,,,,78.0,71.0,75.0,83.0,146.0,145.5,154.5,161.5
ALPHONSE BRAUD,118.0,132.0,134.0,132.0,123.0,138.0,152.0,164.0,162.0,156.0,165.0,142.0
AMPERE,203.0,202.0,210.0,217.0,214.0,223.0,255.0,269.0,281.0,282.0,292.0,289.0
ANATOLE DE MONZIE,64.0,78.0,76.0,85.0,90.0,100.0,133.0,138.0,113.0,116.0,121.0,130.0
ANDRE LERMITE/LAMORICIERE,254.0,267.0,279.0,298.0,301.0,295.0,349.0,335.0,363.0,344.0,366.0,302.0
ANGE GUEPIN,103.0,118.0,114.0,105.0,105.0,100.0,107.0,119.0,116.0,107.0,108.0,101.0
BARBERIE,111.0,119.0,113.0,60.0,58.0,60.0,57.5,61.0,63.0,58.0,54.5,76.0
BATIGNOLLES,184.0,191.5,198.0,195.0,191.0,193.0,223.0,217.0,216.0,236.0,231.0,251.0
BEAUJOIRE,124.0,134.0,116.0,115.0,108.0,112.0,128.0,144.0,149.0,134.0,136.0,135.5
BOCCAGE E,,,,,129.0,133.0,152.0,154.0,148.0,135.0,128.0,134.5
BOCCAGE M,,,,,80.0,76.0,85.0,78.0,87.0,89.0,84.0,69.0
BOTTIERE,186.0,209.0,184.0,182.0,172.0,159.0,181.0,179.0,174.5,185.0,176.0,184.5
CAMILLE CLAUDEL,53.0,53.0,56.0,50.0,48.0,51.0,58.0,59.0,62.0,60.5,69.0,76.0
CHAMPENOIS,86.0,95.0,90.0,113.0,123.0,123.0,138.5,166.0,154.0,151.0,156.0,146.0
CHARLES LEBOURG,128.0,147.0,158.0,176.0,178.5,183.0,201.5,189.0,179.0,161.0,159.0,148.5
CHATAIGNIERS E,,,,,199.0,214.0,232.0,218.0,222.0,226.0,242.0,325.0
CHAUVINIERE E,,,,,119.0,124.0,147.0,144.0,130.0,121.0,107.0,118.0
CHAUVINIERE M,,,,,61.0,63.0,66.0,59.0,47.0,45.0,48.0,60.0
CHENE D'ARON E,,,,,143.5,146.0,169.0,168.0,167.0,163.0,154.5,137.5
CHENE D'ARON M,,,,,74.0,79.0,84.0,85.0,84.0,84.0,80.0,74.0
CONTRIE,214.0,211.0,213.0,217.0,223.0,232.0,74.0,84.0,87.0,86.0,68.0,64.0
COTE D'OR,52.0,54.0,45.0,46.0,56.0,59.0,61.0,56.0,51.0,56.0,51.0,44.0
COUDRAY E.,103.0,106.0,103.0,110.5,124.0,139.5,168.0,181.0,180.0,170.0,162.0,167.0
COUDRAY M.,78.0,77.0,78.0,85.0,90.5,98.0,105.0,108.0,112.0,106.0,106.0,99.5
