,datetime,Saison,Problème,durée_DepuisVac,durée_AvantVac
0,2011-01-03,1,False,1,54
1,2011-01-04,1,False,2,53
2,2011-01-06,1,False,4,51
3,2011-01-07,1,False,5,50
4,2011-01-10,1,False,8,47
5,2011-01-11,1,False,9,46
6,2011-01-13,1,False,11,44
7,2011-01-14,1,False,12,43
8,2011-01-17,1,False,15,40
9,2011-01-18,1,False,16,39
10,2011-01-20,1,False,18,37
11,2011-01-21,1,False,19,36
12,2011-01-24,1,False,22,33
13,2011-01-25,1,False,23,32
14,2011-01-27,1,False,25,30
15,2011-01-28,1,False,26,29
16,2011-01-31,1,False,29,26
17,2011-02-01,1,False,30,25
18,2011-02-03,1,False,32,23
19,2011-02-04,1,False,33,22
20,2011-02-07,1,False,36,19
21,2011-02-08,1,False,37,18
22,2011-02-10,1,False,39,16
23,2011-02-11,1,False,40,15
24,2011-02-14,1,False,43,12
25,2011-02-15,1,False,44,11
26,2011-02-17,1,False,46,9
27,2011-02-18,1,False,47,8
28,2011-02-21,1,False,50,5
29,2011-02-22,1,False,51,4
30,2011-02-24,1,False,53,2
31,2011-02-25,1,False,54,1
32,2011-03-14,2,False,1,40
33,2011-03-15,2,False,2,39
34,2011-03-17,2,False,4,37
35,2011-03-18,2,False,5,36
36,2011-03-21,2,False,8,33
37,2011-03-22,2,False,9,32
38,2011-03-24,2,False,11,30
39,2011-03-25,2,False,12,29
40,2011-03-28,2,False,15,26
41,2011-03-29,2,False,16,25
42,2011-03-31,2,False,18,23
43,2011-04-01,2,False,19,22
44,2011-04-04,2,False,22,19
45,2011-04-05,2,False,23,18
46,2011-04-07,2,False,25,16
47,2011-04-08,2,False,26,15
48,2011-04-11,2,False,29,12
49,2011-04-12,2,False,30,11
50,2011-04-14,2,False,32,9
51,2011-04-15,2,False,33,8
52,2011-04-18,2,False,36,5
53,2011-04-19,2,False,37,4
54,2011-04-21,2,False,39,2
55,2011-04-22,2,False,40,1
56,2011-05-02,2,True,50,-9
57,2011-05-03,2,True,51,-10
58,2011-05-05,2,True,53,-12
59,2011-05-06,2,True,54,-13
60,2011-05-09,3,False,1,54
